flops,loss,accuracy
166854656,0.7082925529479981,0.513
340688768,0.7116735444068909,0.473
514522880,0.7130470576286316,0.505
688356992,0.7068852615356446,0.477
862191104,0.7072357487678528,0.485
1036025216,0.7114037790298462,0.488
1209859328,0.6979016981124878,0.499
1383693440,0.6984759593009948,0.497
1557527552,0.6988404836654664,0.491
1731361664,0.6963672332763672,0.498
1905195776,0.6922659606933593,0.489
2079029888,0.6922398366928101,0.505
2252864000,0.7019095935821533,0.485
2426698112,0.6948185377120971,0.526
2600532224,0.6923172330856323,0.467
2774366336,0.6971839151382446,0.519
2948200448,0.693578775882721,0.489
3122034560,0.6984366774559021,0.487
3295868672,0.6997401738166809,0.499
3469702784,0.6968141980171204,0.498
3643536896,0.6975141258239747,0.515
3817371008,0.6937913875579834,0.519
3991205120,0.6934803819656372,0.5
4165039232,0.7000628309249878,0.492
4338873344,0.6973136892318725,0.487
4512707456,0.6963330984115601,0.496
4686541568,0.6947056322097779,0.494
4860375680,0.6935105304718018,0.506
5034209792,0.6923196220397949,0.534
5208043904,0.6912357254028321,0.511
5381878016,0.6968857078552246,0.486
5555712128,0.6925446157455444,0.482
5729546240,0.6902977104187011,0.488
5903380352,0.6925640826225281,0.488
6077214464,0.6932307367324829,0.517
6251048576,0.6953339042663574,0.489
6424882688,0.6906694555282593,0.51
6598716800,0.693170340538025,0.536
6772550912,0.6938746690750122,0.51
