flops,loss,accuracy
31850496,0.7176675424575806,0.486
65036160,0.7021534419059754,0.497
98221824,0.7059613265991211,0.522
131407488,0.7044986095428467,0.478
164593152,0.6981545939445496,0.483
197778816,0.7031617431640625,0.497
230964480,0.7002486553192139,0.511
264150144,0.7013603210449219,0.499
297335808,0.6976778683662415,0.502
330521472,0.7042528829574585,0.479
363707136,0.6971708817481994,0.513
396892800,0.6937868061065674,0.511
430078464,0.6987751159667969,0.454
463264128,0.6983455715179443,0.506
496449792,0.6925464735031128,0.494
529635456,0.6961873426437378,0.502
562821120,0.6979768047332764,0.49
596006784,0.6926926636695862,0.475
629192448,0.6951761245727539,0.503
662378112,0.6997768964767456,0.49
695563776,0.7005872826576233,0.508
728749440,0.6941732082366944,0.491
761935104,0.6995124669075012,0.518
795120768,0.6950617685317994,0.493
828306432,0.69653701877594,0.494
861492096,0.6946653590202332,0.497
894677760,0.6918782424926758,0.51
927863424,0.6947868452072143,0.516
961049088,0.6957116475105286,0.507
994234752,0.6919371333122254,0.506
1027420416,0.6955875411033631,0.515
1060606080,0.6933349423408508,0.504
1093791744,0.6898603897094726,0.498
1126977408,0.6941279268264771,0.507
1160163072,0.694430435180664,0.512
1193348736,0.6938459696769714,0.506
1226534400,0.6958887271881103,0.495
1259720064,0.6952147722244263,0.504
1292905728,0.6952457609176635,0.499
1326091392,0.697912528038025,0.521
1359277056,0.6949381685256958,0.521
1392462720,0.6943964290618897,0.462
1425648384,0.6950156812667847,0.49
1458834048,0.6920917706489563,0.507
1492019712,0.6885903635025025,0.48
1525205376,0.6971975574493409,0.488
1558391040,0.6924196271896362,0.492
1591576704,0.6950582971572876,0.507
1624762368,0.6968797740936279,0.491
1657948032,0.6901055221557617,0.521
1691133696,0.6949718885421753,0.492
1724319360,0.6942274141311645,0.495
1757505024,0.6940770740509034,0.49
1790690688,0.6936798758506775,0.511
1823876352,0.6949223508834839,0.507
1857062016,0.6939279084205627,0.462
1890247680,0.693099181175232,0.492
1923433344,0.6921378841400146,0.514
1956619008,0.6951135778427124,0.53
1989804672,0.6953647494316101,0.506
