task_0_flops,task_0_accuracy
11976576,0.54
23953152,0.52
35929728,0.47
47906304,0.51
59882880,0.49
71859456,0.5
83836032,0.48
95812608,0.49
107789184,0.53
119765760,0.52
131742336,0.56
143718912,0.54
155695488,0.47
167672064,0.49
179648640,0.38
191625216,0.51
203601792,0.44
215578368,0.57
227554944,0.44
239531520,0.53
251508096,0.42
263484672,0.53
275461248,0.39
287437824,0.53
299414400,0.43
311390976,0.48
323367552,0.48
335344128,0.62
347320704,0.47
359297280,0.45
371273856,0.5
383250432,0.41
395227008,0.52
407203584,0.48
419180160,0.47
431156736,0.43
443133312,0.55
455109888,0.44
467086464,0.51
479063040,0.56
491039616,0.6
503016192,0.44
