task_0_flops,task_0_accuracy
10528640,0.54
21057280,0.5
31585920,0.54
42114560,0.46
52643200,0.46
63171840,0.57
73700480,0.49
84229120,0.52
94757760,0.41
105286400,0.5
115815040,0.47
126343680,0.6
136872320,0.47
147400960,0.5
157929600,0.52
168458240,0.58
178986880,0.45
189515520,0.53
200044160,0.52
210572800,0.56
221101440,0.46
231630080,0.46
242158720,0.52
252687360,0.49
263216000,0.6
273744640,0.41
284273280,0.47
294801920,0.51
305330560,0.45
315859200,0.47
326387840,0.55
336916480,0.42
347445120,0.55
357973760,0.55
368502400,0.45
379031040,0.58
389559680,0.5
400088320,0.48
410616960,0.5
421145600,0.47
431674240,0.49
442202880,0.49
452731520,0.5
463260160,0.49
473788800,0.56
484317440,0.52
494846080,0.38
505374720,0.6
515903360,0.53
526432000,0.6
536960640,0.5
547489280,0.6
558017920,0.38
568546560,0.5
579075200,0.55
589603840,0.64
600132480,0.48
610661120,0.55
621189760,0.49
631718400,0.44
642247040,0.48
652775680,0.55
663304320,0.46
673832960,0.46
684361600,0.62
694890240,0.46
705418880,0.46
715947520,0.51
726476160,0.44
737004800,0.6
747533440,0.4
758062080,0.53
768590720,0.46
779119360,0.43
789648000,0.52
800176640,0.53
810705280,0.47
821233920,0.49
831762560,0.53
842291200,0.47
852819840,0.5
863348480,0.59
873877120,0.49
884405760,0.52
894934400,0.44
905463040,0.5
915991680,0.51
926520320,0.54
937048960,0.59
947577600,0.49
958106240,0.48
968634880,0.62
979163520,0.42
989692160,0.53
1000220800,0.62
1010749440,0.57
1021278080,0.64
1031806720,0.44
1042335360,0.5
1052864000,0.5
1063392640,0.5
1073921280,0.54
1084449920,0.49
1094978560,0.47
1105507200,0.54
1116035840,0.47
1126564480,0.52
1137093120,0.5
1147621760,0.54
1158150400,0.55
1168679040,0.54
1179207680,0.42
1189736320,0.49
1200264960,0.58
1210793600,0.47
1221322240,0.48
1231850880,0.51
1242379520,0.54
1252908160,0.49
1263436800,0.5
1273965440,0.42
1284494080,0.43
1295022720,0.54
1305551360,0.51
1316080000,0.5
1326608640,0.52
1337137280,0.58
1347665920,0.44
1358194560,0.52
1368723200,0.56
1379251840,0.56
1389780480,0.64
1400309120,0.58
1410837760,0.56
1421366400,0.65
1431895040,0.47
1442423680,0.6
1452952320,0.51
1463480960,0.53
1474009600,0.59
1484538240,0.53
1495066880,0.55
1505595520,0.63
1516124160,0.54
1526652800,0.52
1537181440,0.58
1547710080,0.63
1558238720,0.62
1568767360,0.62
1579296000,0.53
1589824640,0.58
1600353280,0.64
1610881920,0.54
1621410560,0.61
1631939200,0.54
1642467840,0.6
1652996480,0.49
1663525120,0.61
1674053760,0.58
1684582400,0.5
1695111040,0.53
1705639680,0.58
1716168320,0.69
1726696960,0.69
1737225600,0.58
1747754240,0.56
1758282880,0.59
1768811520,0.66
1779340160,0.63
1789868800,0.58
1800397440,0.5
1810926080,0.62
1821454720,0.66
1831983360,0.56
1842512000,0.63
1853040640,0.59
1863569280,0.65
1874097920,0.67
1884626560,0.57
1895155200,0.58
1905683840,0.54
1916212480,0.56
1926741120,0.62
1937269760,0.56
1947798400,0.57
1958327040,0.52
1968855680,0.62
1979384320,0.62
1989912960,0.53
2000441600,0.64
2010970240,0.57
2021498880,0.67
2032027520,0.58
2042556160,0.59
2053084800,0.56
2063613440,0.58
2074142080,0.59
2084670720,0.6
2095199360,0.48
2105728000,0.63
2116256640,0.45
2126785280,0.54
2137313920,0.61
2147842560,0.57
2158371200,0.59
2168899840,0.61
2179428480,0.45
2189957120,0.68
2200485760,0.6
2211014400,0.71
2221543040,0.72
2232071680,0.69
2242600320,0.68
2253128960,0.74
2263657600,0.61
2274186240,0.69
2284714880,0.72
2295243520,0.72
2305772160,0.7
2316300800,0.66
2326829440,0.65
2337358080,0.77
2347886720,0.76
2358415360,0.79
2368944000,0.72
2379472640,0.74
2390001280,0.74
2400529920,0.77
2411058560,0.77
2421587200,0.74
2432115840,0.74
2442644480,0.77
2453173120,0.71
2463701760,0.68
2474230400,0.83
2484759040,0.81
2495287680,0.77
2505816320,0.79
2516344960,0.71
2526873600,0.72
2537402240,0.7
2547930880,0.72
2558459520,0.67
2568988160,0.85
2579516800,0.68
2590045440,0.81
2600574080,0.72
2611102720,0.8
2621631360,0.76
2632160000,0.76
2642688640,0.78
2653217280,0.77
2663745920,0.7
2674274560,0.73
2684803200,0.8
2695331840,0.79
