task_0_flops,task_0_accuracy
173834112,0.46
347668224,0.48
521502336,0.51
695336448,0.53
869170560,0.5
1043004672,0.55
1216838784,0.53
1390672896,0.47
1564507008,0.52
1738341120,0.53
1912175232,0.47
2086009344,0.49
2259843456,0.5
2433677568,0.55
2607511680,0.45
2781345792,0.46
2955179904,0.53
3129014016,0.54
3302848128,0.45
3476682240,0.39
3650516352,0.5
3824350464,0.43
3998184576,0.47
4172018688,0.49
4345852800,0.49
4519686912,0.42
4693521024,0.44
4867355136,0.49
5041189248,0.53
5215023360,0.49
5388857472,0.57
5562691584,0.47
5736525696,0.48
5910359808,0.56
6084193920,0.49
6258028032,0.53
6431862144,0.55
6605696256,0.5
6779530368,0.45
