task_0_flops,task_0_accuracy
11976576,0.54
23953152,0.52
35929728,0.47
47906304,0.51
59882880,0.49
71859456,0.5
83836032,0.48
95812608,0.49
107789184,0.53
119765760,0.52
131742336,0.56
143718912,0.54
155695488,0.47
167672064,0.49
179648640,0.38
191625216,0.51
203601792,0.44
215578368,0.57
227554944,0.44
239531520,0.53
251508096,0.42
263484672,0.53
275461248,0.39
287437824,0.53
299414400,0.43
311390976,0.48
323367552,0.48
335344128,0.62
347320704,0.47
359297280,0.45
371273856,0.5
383250432,0.41
395227008,0.52
407203584,0.48
419180160,0.47
431156736,0.43
443133312,0.55
455109888,0.44
467086464,0.51
479063040,0.56
491039616,0.6
503016192,0.44
514992768,0.54
526969344,0.5
538945920,0.47
550922496,0.54
562899072,0.49
574875648,0.58
586852224,0.57
598828800,0.43
610805376,0.45
622781952,0.54
634758528,0.5
646735104,0.48
658711680,0.47
670688256,0.52
682664832,0.56
694641408,0.53
706617984,0.53
718594560,0.5
730571136,0.48
742547712,0.51
754524288,0.53
766500864,0.54
778477440,0.54
790454016,0.53
802430592,0.46
814407168,0.53
826383744,0.44
838360320,0.49
850336896,0.43
862313472,0.55
874290048,0.49
886266624,0.46
898243200,0.49
910219776,0.49
922196352,0.51
934172928,0.55
946149504,0.46
958126080,0.52
970102656,0.47
982079232,0.44
994055808,0.43
1006032384,0.56
1018008960,0.46
1029985536,0.53
1041962112,0.58
1053938688,0.49
1065915264,0.55
1077891840,0.48
1089868416,0.44
1101844992,0.49
1113821568,0.45
1125798144,0.52
1137774720,0.38
1149751296,0.51
1161727872,0.5
1173704448,0.51
1185681024,0.47
1197657600,0.43
1209634176,0.37
1221610752,0.5
1233587328,0.55
1245563904,0.52
1257540480,0.44
1269517056,0.45
1281493632,0.45
1293470208,0.52
1305446784,0.48
1317423360,0.46
1329399936,0.5
1341376512,0.47
1353353088,0.55
1365329664,0.47
1377306240,0.48
1389282816,0.42
1401259392,0.62
1413235968,0.5
1425212544,0.52
1437189120,0.53
1449165696,0.57
1461142272,0.49
1473118848,0.55
1485095424,0.53
1497072000,0.56
1509048576,0.62
1521025152,0.56
1533001728,0.55
1544978304,0.65
1556954880,0.59
1568931456,0.6
1580908032,0.71
1592884608,0.83
1604861184,0.84
1616837760,0.78
1628814336,0.83
1640790912,0.84
1652767488,0.89
1664744064,0.8
1676720640,0.9
1688697216,0.92
1700673792,0.96
1712650368,0.9
1724626944,0.96
1736603520,0.98
1748580096,0.95
1760556672,0.94
1772533248,0.94
1784509824,0.99
1796486400,0.98
1808462976,0.94
1820439552,0.97
1832416128,0.96
