model_config,flops,task_0_flops,task_0_accuracy
14x512,792774962304,20327563136,0.48
14x512,792774962304,40655126272,0.65
14x512,792774962304,60982689408,0.44
14x512,792774962304,81310252544,0.63
14x512,792774962304,101637815680,0.56
14x512,792774962304,121965378816,0.56
14x512,792774962304,142292941952,0.49
14x512,792774962304,162620505088,0.49
14x512,792774962304,182948068224,0.45
14x512,792774962304,203275631360,0.52
14x512,792774962304,223603194496,0.45
14x512,792774962304,243930757632,0.58
14x512,792774962304,264258320768,0.6
14x512,792774962304,284585883904,0.47
14x512,792774962304,304913447040,0.46
14x512,792774962304,325241010176,0.48
14x512,792774962304,345568573312,0.46
14x512,792774962304,365896136448,0.43
14x512,792774962304,386223699584,0.48
14x512,792774962304,406551262720,0.59
14x512,792774962304,426878825856,0.45
14x512,792774962304,447206388992,0.47
14x512,792774962304,467533952128,0.52
14x512,792774962304,487861515264,0.48
14x512,792774962304,508189078400,0.46
14x512,792774962304,528516641536,0.52
14x512,792774962304,548844204672,0.57
14x512,792774962304,569171767808,0.47
14x512,792774962304,589499330944,0.47
14x512,792774962304,609826894080,0.57
14x512,792774962304,630154457216,0.6
14x512,792774962304,650482020352,0.55
14x512,792774962304,670809583488,0.55
14x512,792774962304,691137146624,0.55
14x512,792774962304,711464709760,0.57
14x512,792774962304,731792272896,0.54
14x512,792774962304,752119836032,0.48
14x512,792774962304,772447399168,0.58
14x512,792774962304,792774962304,0.52
