flops,loss,accuracy,model_config
19513999360,0.7015237379074096,0.516,14x512
39841562496,0.707263032913208,0.497,14x512
60169125632,0.7041738786697388,0.482,14x512
80496688768,0.7098105792999267,0.486,14x512
100824251904,0.7002097158432007,0.504,14x512
121151815040,0.7046670751571655,0.513,14x512
141479378176,0.7049134345054626,0.502,14x512
161806941312,0.7075590929985046,0.51,14x512
182134504448,0.7006567153930664,0.528,14x512
202462067584,0.69769939661026,0.498,14x512
222789630720,0.697640305519104,0.498,14x512
243117193856,0.7023044052124023,0.509,14x512
263444756992,0.6998378343582153,0.524,14x512
283772320128,0.7032085685729981,0.495,14x512
304099883264,0.6971754035949707,0.527,14x512
324427446400,0.698315664768219,0.517,14x512
344755009536,0.6981962704658509,0.509,14x512
365082572672,0.6968835439682007,0.507,14x512
385410135808,0.6982650136947632,0.515,14x512
405737698944,0.7028063588142395,0.517,14x512
426065262080,0.695605541229248,0.492,14x512
446392825216,0.7030022177696228,0.509,14x512
466720388352,0.6988034591674804,0.492,14x512
487047951488,0.6969006752967835,0.501,14x512
507375514624,0.6961061792373657,0.512,14x512
527703077760,0.6931713428497315,0.503,14x512
548030640896,0.6969458727836609,0.528,14x512
568358204032,0.7014809551239014,0.495,14x512
588685767168,0.6964978046417236,0.508,14x512
609013330304,0.6985593438148499,0.5,14x512
629340893440,0.6892073850631714,0.498,14x512
649668456576,0.6985088624954223,0.489,14x512
669996019712,0.6959265522956848,0.529,14x512
690323582848,0.6995099849700928,0.515,14x512
710651145984,0.6954146490097046,0.517,14x512
730978709120,0.6920928449630738,0.503,14x512
