model_config,flops,task_0_flops,task_0_accuracy
2x8,500003405440,1000384384,0.52
2x8,500003405440,2000768768,0.55
2x8,500003405440,3001153152,0.55
2x8,500003405440,4001537536,0.5
2x8,500003405440,5001921920,0.48
2x8,500003405440,6002306304,0.61
2x8,500003405440,7002690688,0.52
2x8,500003405440,8003075072,0.52
2x8,500003405440,9003459456,0.51
2x8,500003405440,10003843840,0.44
2x8,500003405440,11004228224,0.46
2x8,500003405440,12004612608,0.49
2x8,500003405440,13004996992,0.53
2x8,500003405440,14005381376,0.47
2x8,500003405440,15005765760,0.56
2x8,500003405440,16006150144,0.52
2x8,500003405440,17006534528,0.73
2x8,500003405440,18006918912,0.75
2x8,500003405440,19007303296,0.88
2x8,500003405440,20007687680,0.79
2x8,500003405440,21008072064,0.98
2x8,500003405440,22008456448,0.88
2x8,500003405440,23008840832,0.8
2x8,500003405440,24009225216,0.85
2x8,500003405440,25009609600,0.82
2x8,500003405440,26009993984,0.88
2x8,500003405440,27010378368,0.87
2x8,500003405440,28010762752,0.98
2x8,500003405440,29011147136,0.87
2x8,500003405440,30011531520,0.96
2x8,500003405440,31011915904,1.0
2x8,500003405440,32012300288,0.9
2x8,500003405440,33012684672,0.94
2x8,500003405440,34013069056,0.83
2x8,500003405440,35013453440,0.97
2x8,500003405440,36013837824,0.77
2x8,500003405440,37014222208,1.0
2x8,500003405440,38014606592,0.96
2x8,500003405440,39014990976,0.93
2x8,500003405440,40015375360,0.84
2x8,500003405440,41015759744,0.98
2x8,500003405440,42016144128,0.77
2x8,500003405440,43016528512,0.99
2x8,500003405440,44016912896,0.81
2x8,500003405440,45017297280,0.87
2x8,500003405440,46017681664,1.0
2x8,500003405440,47018066048,0.78
2x8,500003405440,48018450432,0.97
2x8,500003405440,49018834816,0.88
2x8,500003405440,50019219200,0.83
2x8,500003405440,51019603584,0.98
2x8,500003405440,52019987968,0.86
2x8,500003405440,53020372352,0.79
2x8,500003405440,54020756736,0.89
2x8,500003405440,55021141120,0.87
2x8,500003405440,56021525504,0.95
2x8,500003405440,57021909888,0.96
2x8,500003405440,58022294272,0.98
2x8,500003405440,59022678656,0.98
2x8,500003405440,60023063040,0.93
2x8,500003405440,61023447424,0.85
2x8,500003405440,62023831808,0.88
2x8,500003405440,63024216192,0.96
2x8,500003405440,64024600576,0.8
2x8,500003405440,65024984960,0.98
2x8,500003405440,66025369344,0.78
2x8,500003405440,67025753728,0.87
2x8,500003405440,68026138112,0.95
2x8,500003405440,69026522496,0.99
2x8,500003405440,70026906880,0.97
2x8,500003405440,71027291264,0.97
2x8,500003405440,72027675648,0.89
2x8,500003405440,73028060032,0.99
2x8,500003405440,74028444416,0.91
2x8,500003405440,75028828800,0.96
2x8,500003405440,76029213184,0.95
2x8,500003405440,77029597568,0.83
2x8,500003405440,78029981952,0.94
2x8,500003405440,79030366336,0.87
2x8,500003405440,80030750720,0.87
2x8,500003405440,81031135104,0.98
2x8,500003405440,82031519488,0.86
2x8,500003405440,83031903872,0.98
2x8,500003405440,84032288256,0.8
2x8,500003405440,85032672640,0.82
2x8,500003405440,86033057024,0.81
2x8,500003405440,87033441408,0.8
2x8,500003405440,88033825792,0.88
2x8,500003405440,89034210176,0.77
2x8,500003405440,90034594560,0.95
2x8,500003405440,91034978944,0.98
2x8,500003405440,92035363328,0.85
2x8,500003405440,93035747712,0.78
2x8,500003405440,94036132096,0.81
2x8,500003405440,95036516480,0.76
2x8,500003405440,96036900864,0.81
2x8,500003405440,97037285248,0.99
2x8,500003405440,98037669632,0.98
2x8,500003405440,99038054016,0.85
2x8,500003405440,100038438400,0.95
2x8,500003405440,101038822784,0.89
2x8,500003405440,102039207168,0.94
2x8,500003405440,103039591552,0.99
2x8,500003405440,104039975936,0.84
2x8,500003405440,105040360320,0.79
2x8,500003405440,106040744704,0.92
2x8,500003405440,107041129088,0.97
2x8,500003405440,108041513472,0.98
2x8,500003405440,109041897856,0.71
2x8,500003405440,110042282240,0.96
2x8,500003405440,111042666624,0.89
2x8,500003405440,112043051008,0.99
2x8,500003405440,113043435392,0.85
2x8,500003405440,114043819776,0.91
2x8,500003405440,115044204160,0.99
2x8,500003405440,116044588544,0.84
2x8,500003405440,117044972928,0.87
2x8,500003405440,118045357312,0.82
2x8,500003405440,119045741696,0.95
2x8,500003405440,120046126080,0.75
2x8,500003405440,121046510464,0.82
2x8,500003405440,122046894848,0.98
2x8,500003405440,123047279232,0.96
2x8,500003405440,124047663616,0.96
2x8,500003405440,125048048000,0.91
2x8,500003405440,126048432384,0.82
2x8,500003405440,127048816768,0.78
2x8,500003405440,128049201152,0.94
2x8,500003405440,129049585536,0.93
2x8,500003405440,130049969920,0.89
2x8,500003405440,131050354304,0.96
2x8,500003405440,132050738688,0.93
2x8,500003405440,133051123072,0.77
2x8,500003405440,134051507456,0.95
2x8,500003405440,135051891840,0.97
2x8,500003405440,136052276224,0.83
2x8,500003405440,137052660608,0.87
