model_config,flops,task_0_flops,task_0_accuracy
2x8,550003750272,1000384384,0.52
2x8,550003750272,2000768768,0.55
2x8,550003750272,3001153152,0.55
2x8,550003750272,4001537536,0.5
2x8,550003750272,5001921920,0.48
2x8,550003750272,6002306304,0.61
2x8,550003750272,7002690688,0.52
2x8,550003750272,8003075072,0.52
2x8,550003750272,9003459456,0.51
2x8,550003750272,10003843840,0.44
2x8,550003750272,11004228224,0.46
2x8,550003750272,12004612608,0.49
2x8,550003750272,13004996992,0.53
2x8,550003750272,14005381376,0.47
2x8,550003750272,15005765760,0.56
2x8,550003750272,16006150144,0.52
2x8,550003750272,17006534528,0.73
2x8,550003750272,18006918912,0.75
2x8,550003750272,19007303296,0.88
2x8,550003750272,20007687680,0.79
2x8,550003750272,21008072064,0.98
2x8,550003750272,22008456448,0.88
2x8,550003750272,23008840832,0.8
2x8,550003750272,24009225216,0.85
2x8,550003750272,25009609600,0.82
2x8,550003750272,26009993984,0.88
2x8,550003750272,27010378368,0.87
2x8,550003750272,28010762752,0.98
2x8,550003750272,29011147136,0.87
2x8,550003750272,30011531520,0.96
2x8,550003750272,31011915904,1.0
2x8,550003750272,32012300288,0.9
2x8,550003750272,33012684672,0.94
2x8,550003750272,34013069056,0.83
2x8,550003750272,35013453440,0.97
2x8,550003750272,36013837824,0.77
2x8,550003750272,37014222208,1.0
2x8,550003750272,38014606592,0.96
2x8,550003750272,39014990976,0.93
2x8,550003750272,40015375360,0.84
2x8,550003750272,41015759744,0.98
2x8,550003750272,42016144128,0.77
2x8,550003750272,43016528512,0.99
2x8,550003750272,44016912896,0.81
2x8,550003750272,45017297280,0.87
2x8,550003750272,46017681664,1.0
2x8,550003750272,47018066048,0.78
2x8,550003750272,48018450432,0.97
2x8,550003750272,49018834816,0.88
2x8,550003750272,50019219200,0.83
2x8,550003750272,51019603584,0.98
2x8,550003750272,52019987968,0.86
2x8,550003750272,53020372352,0.79
2x8,550003750272,54020756736,0.89
2x8,550003750272,55021141120,0.87
2x8,550003750272,56021525504,0.95
2x8,550003750272,57021909888,0.96
2x8,550003750272,58022294272,0.98
2x8,550003750272,59022678656,0.98
2x8,550003750272,60023063040,0.93
2x8,550003750272,61023447424,0.85
2x8,550003750272,62023831808,0.88
2x8,550003750272,63024216192,0.96
2x8,550003750272,64024600576,0.8
2x8,550003750272,65024984960,0.98
2x8,550003750272,66025369344,0.78
2x8,550003750272,67025753728,0.87
2x8,550003750272,68026138112,0.95
2x8,550003750272,69026522496,0.99
2x8,550003750272,70026906880,0.97
2x8,550003750272,71027291264,0.97
2x8,550003750272,72027675648,0.89
2x8,550003750272,73028060032,0.99
2x8,550003750272,74028444416,0.91
2x8,550003750272,75028828800,0.96
2x8,550003750272,76029213184,0.95
2x8,550003750272,77029597568,0.83
2x8,550003750272,78029981952,0.94
2x8,550003750272,79030366336,0.87
2x8,550003750272,80030750720,0.87
2x8,550003750272,81031135104,0.98
2x8,550003750272,82031519488,0.86
2x8,550003750272,83031903872,0.98
2x8,550003750272,84032288256,0.8
2x8,550003750272,85032672640,0.82
2x8,550003750272,86033057024,0.81
2x8,550003750272,87033441408,0.8
2x8,550003750272,88033825792,0.88
2x8,550003750272,89034210176,0.77
2x8,550003750272,90034594560,0.95
2x8,550003750272,91034978944,0.98
2x8,550003750272,92035363328,0.85
2x8,550003750272,93035747712,0.78
2x8,550003750272,94036132096,0.81
2x8,550003750272,95036516480,0.76
2x8,550003750272,96036900864,0.81
2x8,550003750272,97037285248,0.99
2x8,550003750272,98037669632,0.98
2x8,550003750272,99038054016,0.85
2x8,550003750272,100038438400,0.95
2x8,550003750272,101038822784,0.89
2x8,550003750272,102039207168,0.94
2x8,550003750272,103039591552,0.99
2x8,550003750272,104039975936,0.84
2x8,550003750272,105040360320,0.79
2x8,550003750272,106040744704,0.92
2x8,550003750272,107041129088,0.97
2x8,550003750272,108041513472,0.98
2x8,550003750272,109041897856,0.71
2x8,550003750272,110042282240,0.96
2x8,550003750272,111042666624,0.89
2x8,550003750272,112043051008,0.99
2x8,550003750272,113043435392,0.85
2x8,550003750272,114043819776,0.91
2x8,550003750272,115044204160,0.99
2x8,550003750272,116044588544,0.84
2x8,550003750272,117044972928,0.87
2x8,550003750272,118045357312,0.82
2x8,550003750272,119045741696,0.95
2x8,550003750272,120046126080,0.75
2x8,550003750272,121046510464,0.82
2x8,550003750272,122046894848,0.98
2x8,550003750272,123047279232,0.96
2x8,550003750272,124047663616,0.96
2x8,550003750272,125048048000,0.91
2x8,550003750272,126048432384,0.82
2x8,550003750272,127048816768,0.78
2x8,550003750272,128049201152,0.94
2x8,550003750272,129049585536,0.93
2x8,550003750272,130049969920,0.89
2x8,550003750272,131050354304,0.96
2x8,550003750272,132050738688,0.93
2x8,550003750272,133051123072,0.77
2x8,550003750272,134051507456,0.95
2x8,550003750272,135051891840,0.97
2x8,550003750272,136052276224,0.83
2x8,550003750272,137052660608,0.87
2x8,550003750272,138053044992,0.83
2x8,550003750272,139053429376,0.81
2x8,550003750272,140053813760,0.95
2x8,550003750272,141054198144,0.96
2x8,550003750272,142054582528,0.93
2x8,550003750272,143054966912,0.94
2x8,550003750272,144055351296,0.88
2x8,550003750272,145055735680,0.91
2x8,550003750272,146056120064,0.83
2x8,550003750272,147056504448,0.8
2x8,550003750272,148056888832,0.94
2x8,550003750272,149057273216,0.9
2x8,550003750272,150057657600,0.76
2x8,550003750272,151058041984,0.93
2x8,550003750272,152058426368,0.76
2x8,550003750272,153058810752,0.81
2x8,550003750272,154059195136,0.94
2x8,550003750272,155059579520,0.83
2x8,550003750272,156059963904,0.89
2x8,550003750272,157060348288,0.77
2x8,550003750272,158060732672,0.99
2x8,550003750272,159061117056,0.92
2x8,550003750272,160061501440,0.86
2x8,550003750272,161061885824,0.88
2x8,550003750272,162062270208,0.96
2x8,550003750272,163062654592,0.97
2x8,550003750272,164063038976,0.85
2x8,550003750272,165063423360,0.84
2x8,550003750272,166063807744,0.89
2x8,550003750272,167064192128,0.87
2x8,550003750272,168064576512,0.96
2x8,550003750272,169064960896,0.87
2x8,550003750272,170065345280,1.0
2x8,550003750272,171065729664,0.87
2x8,550003750272,172066114048,0.96
2x8,550003750272,173066498432,0.97
2x8,550003750272,174066882816,0.88
2x8,550003750272,175067267200,0.71
2x8,550003750272,176067651584,1.0
2x8,550003750272,177068035968,0.73
2x8,550003750272,178068420352,0.94
2x8,550003750272,179068804736,0.98
2x8,550003750272,180069189120,0.87
2x8,550003750272,181069573504,0.88
2x8,550003750272,182069957888,0.95
2x8,550003750272,183070342272,1.0
2x8,550003750272,184070726656,0.98
2x8,550003750272,185071111040,0.91
2x8,550003750272,186071495424,0.99
2x8,550003750272,187071879808,0.89
2x8,550003750272,188072264192,0.97
2x8,550003750272,189072648576,0.99
2x8,550003750272,190073032960,0.85
2x8,550003750272,191073417344,0.96
2x8,550003750272,192073801728,0.9
2x8,550003750272,193074186112,0.81
2x8,550003750272,194074570496,0.96
2x8,550003750272,195074954880,0.99
2x8,550003750272,196075339264,0.81
2x8,550003750272,197075723648,0.98
2x8,550003750272,198076108032,0.79
2x8,550003750272,199076492416,0.87
2x8,550003750272,200076876800,0.75
2x8,550003750272,201077261184,0.9
2x8,550003750272,202077645568,0.98
2x8,550003750272,203078029952,0.94
2x8,550003750272,204078414336,0.99
2x8,550003750272,205078798720,0.97
2x8,550003750272,206079183104,0.95
2x8,550003750272,207079567488,0.96
2x8,550003750272,208079951872,0.87
2x8,550003750272,209080336256,0.98
2x8,550003750272,210080720640,0.93
2x8,550003750272,211081105024,0.79
2x8,550003750272,212081489408,0.83
2x8,550003750272,213081873792,0.93
2x8,550003750272,214082258176,0.93
2x8,550003750272,215082642560,0.77
2x8,550003750272,216083026944,0.96
2x8,550003750272,217083411328,0.99
2x8,550003750272,218083795712,0.95
2x8,550003750272,219084180096,0.97
2x8,550003750272,220084564480,0.87
2x8,550003750272,221084948864,0.94
2x8,550003750272,222085333248,0.98
2x8,550003750272,223085717632,0.95
2x8,550003750272,224086102016,0.98
2x8,550003750272,225086486400,0.98
2x8,550003750272,226086870784,0.92
2x8,550003750272,227087255168,0.97
2x8,550003750272,228087639552,0.8
2x8,550003750272,229088023936,0.78
2x8,550003750272,230088408320,0.97
2x8,550003750272,231088792704,0.92
2x8,550003750272,232089177088,0.76
2x8,550003750272,233089561472,0.97
2x8,550003750272,234089945856,0.98
2x8,550003750272,235090330240,0.85
2x8,550003750272,236090714624,0.96
2x8,550003750272,237091099008,0.78
2x8,550003750272,238091483392,0.94
2x8,550003750272,239091867776,0.9
2x8,550003750272,240092252160,0.95
2x8,550003750272,241092636544,0.77
2x8,550003750272,242093020928,0.82
2x8,550003750272,243093405312,0.97
2x8,550003750272,244093789696,0.97
2x8,550003750272,245094174080,0.8
2x8,550003750272,246094558464,0.97
2x8,550003750272,247094942848,0.81
2x8,550003750272,248095327232,0.97
2x8,550003750272,249095711616,0.95
2x8,550003750272,250096096000,0.96
2x8,550003750272,251096480384,0.84
2x8,550003750272,252096864768,1.0
2x8,550003750272,253097249152,0.98
2x8,550003750272,254097633536,0.97
2x8,550003750272,255098017920,0.83
2x8,550003750272,256098402304,0.9
2x8,550003750272,257098786688,0.96
2x8,550003750272,258099171072,0.98
2x8,550003750272,259099555456,0.77
2x8,550003750272,260099939840,0.79
2x8,550003750272,261100324224,0.73
2x8,550003750272,262100708608,0.95
2x8,550003750272,263101092992,0.83
2x8,550003750272,264101477376,0.85
2x8,550003750272,265101861760,1.0
2x8,550003750272,266102246144,0.97
2x8,550003750272,267102630528,0.74
2x8,550003750272,268103014912,0.96
2x8,550003750272,269103399296,0.94
2x8,550003750272,270103783680,0.99
2x8,550003750272,271104168064,0.86
2x8,550003750272,272104552448,0.98
2x8,550003750272,273104936832,0.91
2x8,550003750272,274105321216,0.92
2x8,550003750272,275105705600,0.86
2x8,550003750272,276106089984,0.95
2x8,550003750272,277106474368,0.88
2x8,550003750272,278106858752,0.97
2x8,550003750272,279107243136,0.99
2x8,550003750272,280107627520,0.86
2x8,550003750272,281108011904,0.95
2x8,550003750272,282108396288,0.91
2x8,550003750272,283108780672,0.98
2x8,550003750272,284109165056,0.75
2x8,550003750272,285109549440,0.91
2x8,550003750272,286109933824,0.97
2x8,550003750272,287110318208,0.76
2x8,550003750272,288110702592,0.93
2x8,550003750272,289111086976,0.79
2x8,550003750272,290111471360,0.86
2x8,550003750272,291111855744,0.98
2x8,550003750272,292112240128,0.83
2x8,550003750272,293112624512,0.76
2x8,550003750272,294113008896,0.95
2x8,550003750272,295113393280,0.97
2x8,550003750272,296113777664,0.87
2x8,550003750272,297114162048,0.94
2x8,550003750272,298114546432,0.96
2x8,550003750272,299114930816,0.97
2x8,550003750272,300115315200,0.98
2x8,550003750272,301115699584,0.99
2x8,550003750272,302116083968,0.83
2x8,550003750272,303116468352,0.84
2x8,550003750272,304116852736,0.97
2x8,550003750272,305117237120,0.85
2x8,550003750272,306117621504,0.96
2x8,550003750272,307118005888,0.8
2x8,550003750272,308118390272,1.0
2x8,550003750272,309118774656,0.93
2x8,550003750272,310119159040,0.77
2x8,550003750272,311119543424,0.98
2x8,550003750272,312119927808,0.93
2x8,550003750272,313120312192,0.97
2x8,550003750272,314120696576,0.98
2x8,550003750272,315121080960,0.81
2x8,550003750272,316121465344,0.81
2x8,550003750272,317121849728,0.98
2x8,550003750272,318122234112,0.79
2x8,550003750272,319122618496,0.96
2x8,550003750272,320123002880,0.96
2x8,550003750272,321123387264,0.74
2x8,550003750272,322123771648,0.8
2x8,550003750272,323124156032,0.94
2x8,550003750272,324124540416,0.95
2x8,550003750272,325124924800,0.87
2x8,550003750272,326125309184,0.89
2x8,550003750272,327125693568,0.95
2x8,550003750272,328126077952,0.84
2x8,550003750272,329126462336,0.93
2x8,550003750272,330126846720,0.84
2x8,550003750272,331127231104,0.96
2x8,550003750272,332127615488,0.85
2x8,550003750272,333127999872,0.86
2x8,550003750272,334128384256,0.99
2x8,550003750272,335128768640,0.85
2x8,550003750272,336129153024,0.84
2x8,550003750272,337129537408,0.92
2x8,550003750272,338129921792,0.97
2x8,550003750272,339130306176,0.87
2x8,550003750272,340130690560,0.78
2x8,550003750272,341131074944,0.84
2x8,550003750272,342131459328,0.97
2x8,550003750272,343131843712,0.76
2x8,550003750272,344132228096,1.0
2x8,550003750272,345132612480,1.0
2x8,550003750272,346132996864,0.86
2x8,550003750272,347133381248,0.84
2x8,550003750272,348133765632,0.9
2x8,550003750272,349134150016,0.95
2x8,550003750272,350134534400,0.85
2x8,550003750272,351134918784,0.79
2x8,550003750272,352135303168,0.99
2x8,550003750272,353135687552,0.98
2x8,550003750272,354136071936,0.96
2x8,550003750272,355136456320,0.95
2x8,550003750272,356136840704,0.88
2x8,550003750272,357137225088,0.97
2x8,550003750272,358137609472,0.96
2x8,550003750272,359137993856,0.97
2x8,550003750272,360138378240,0.98
2x8,550003750272,361138762624,0.94
2x8,550003750272,362139147008,0.97
2x8,550003750272,363139531392,0.85
2x8,550003750272,364139915776,0.97
2x8,550003750272,365140300160,0.85
2x8,550003750272,366140684544,0.89
2x8,550003750272,367141068928,0.8
2x8,550003750272,368141453312,0.86
2x8,550003750272,369141837696,0.86
2x8,550003750272,370142222080,0.89
2x8,550003750272,371142606464,0.93
2x8,550003750272,372142990848,0.76
2x8,550003750272,373143375232,0.84
2x8,550003750272,374143759616,0.98
2x8,550003750272,375144144000,0.91
2x8,550003750272,376144528384,0.88
2x8,550003750272,377144912768,0.86
2x8,550003750272,378145297152,0.98
2x8,550003750272,379145681536,0.83
2x8,550003750272,380146065920,0.92
2x8,550003750272,381146450304,0.76
2x8,550003750272,382146834688,0.84
2x8,550003750272,383147219072,0.87
2x8,550003750272,384147603456,0.85
2x8,550003750272,385147987840,0.96
2x8,550003750272,386148372224,0.84
2x8,550003750272,387148756608,0.95
2x8,550003750272,388149140992,0.81
2x8,550003750272,389149525376,0.97
2x8,550003750272,390149909760,0.94
2x8,550003750272,391150294144,0.82
2x8,550003750272,392150678528,0.84
2x8,550003750272,393151062912,0.95
2x8,550003750272,394151447296,0.97
2x8,550003750272,395151831680,0.95
2x8,550003750272,396152216064,0.9
2x8,550003750272,397152600448,0.96
2x8,550003750272,398152984832,0.97
2x8,550003750272,399153369216,0.77
2x8,550003750272,400153753600,0.91
2x8,550003750272,401154137984,0.98
2x8,550003750272,402154522368,0.99
2x8,550003750272,403154906752,0.78
2x8,550003750272,404155291136,0.97
2x8,550003750272,405155675520,0.97
2x8,550003750272,406156059904,0.88
2x8,550003750272,407156444288,0.97
2x8,550003750272,408156828672,0.8
2x8,550003750272,409157213056,0.99
2x8,550003750272,410157597440,0.99
2x8,550003750272,411157981824,0.99
2x8,550003750272,412158366208,0.85
2x8,550003750272,413158750592,0.86
2x8,550003750272,414159134976,0.84
2x8,550003750272,415159519360,0.98
2x8,550003750272,416159903744,0.82
2x8,550003750272,417160288128,0.97
2x8,550003750272,418160672512,0.8
2x8,550003750272,419161056896,0.95
2x8,550003750272,420161441280,0.94
2x8,550003750272,421161825664,0.78
2x8,550003750272,422162210048,0.97
2x8,550003750272,423162594432,0.83
2x8,550003750272,424162978816,0.97
2x8,550003750272,425163363200,0.88
2x8,550003750272,426163747584,0.94
2x8,550003750272,427164131968,0.97
2x8,550003750272,428164516352,0.93
2x8,550003750272,429164900736,0.98
2x8,550003750272,430165285120,0.97
2x8,550003750272,431165669504,0.77
2x8,550003750272,432166053888,0.94
2x8,550003750272,433166438272,0.93
2x8,550003750272,434166822656,0.93
2x8,550003750272,435167207040,0.81
2x8,550003750272,436167591424,0.86
2x8,550003750272,437167975808,0.97
2x8,550003750272,438168360192,0.99
2x8,550003750272,439168744576,0.78
2x8,550003750272,440169128960,0.94
2x8,550003750272,441169513344,0.81
2x8,550003750272,442169897728,0.96
2x8,550003750272,443170282112,0.88
2x8,550003750272,444170666496,0.81
2x8,550003750272,445171050880,0.97
2x8,550003750272,446171435264,0.94
2x8,550003750272,447171819648,0.8
2x8,550003750272,448172204032,0.95
2x8,550003750272,449172588416,0.99
2x8,550003750272,450172972800,0.8
2x8,550003750272,451173357184,0.76
2x8,550003750272,452173741568,0.87
2x8,550003750272,453174125952,0.97
2x8,550003750272,454174510336,0.99
2x8,550003750272,455174894720,1.0
2x8,550003750272,456175279104,0.96
2x8,550003750272,457175663488,0.97
2x8,550003750272,458176047872,0.81
2x8,550003750272,459176432256,0.98
2x8,550003750272,460176816640,0.95
2x8,550003750272,461177201024,0.87
2x8,550003750272,462177585408,0.83
2x8,550003750272,463177969792,0.94
2x8,550003750272,464178354176,0.8
2x8,550003750272,465178738560,0.8
2x8,550003750272,466179122944,0.88
2x8,550003750272,467179507328,0.83
2x8,550003750272,468179891712,0.96
2x8,550003750272,469180276096,0.86
2x8,550003750272,470180660480,0.82
2x8,550003750272,471181044864,0.97
2x8,550003750272,472181429248,0.79
2x8,550003750272,473181813632,0.91
2x8,550003750272,474182198016,0.8
2x8,550003750272,475182582400,0.96
2x8,550003750272,476182966784,0.83
2x8,550003750272,477183351168,0.83
2x8,550003750272,478183735552,0.82
2x8,550003750272,479184119936,0.88
2x8,550003750272,480184504320,0.82
2x8,550003750272,481184888704,0.97
2x8,550003750272,482185273088,0.92
2x8,550003750272,483185657472,0.99
2x8,550003750272,484186041856,0.96
2x8,550003750272,485186426240,0.97
2x8,550003750272,486186810624,0.84
2x8,550003750272,487187195008,0.88
2x8,550003750272,488187579392,0.83
2x8,550003750272,489187963776,0.76
2x8,550003750272,490188348160,0.97
2x8,550003750272,491188732544,0.95
2x8,550003750272,492189116928,0.82
