model_config,flops,task_0_flops,task_0_accuracy
2x8,900006164096,1000384384,0.52
2x8,900006164096,2000768768,0.55
2x8,900006164096,3001153152,0.55
2x8,900006164096,4001537536,0.5
2x8,900006164096,5001921920,0.48
2x8,900006164096,6002306304,0.61
2x8,900006164096,7002690688,0.52
2x8,900006164096,8003075072,0.52
2x8,900006164096,9003459456,0.51
2x8,900006164096,10003843840,0.44
2x8,900006164096,11004228224,0.46
2x8,900006164096,12004612608,0.49
2x8,900006164096,13004996992,0.53
2x8,900006164096,14005381376,0.47
2x8,900006164096,15005765760,0.56
2x8,900006164096,16006150144,0.52
2x8,900006164096,17006534528,0.73
2x8,900006164096,18006918912,0.75
2x8,900006164096,19007303296,0.88
2x8,900006164096,20007687680,0.79
2x8,900006164096,21008072064,0.98
2x8,900006164096,22008456448,0.88
2x8,900006164096,23008840832,0.8
2x8,900006164096,24009225216,0.85
2x8,900006164096,25009609600,0.82
2x8,900006164096,26009993984,0.88
2x8,900006164096,27010378368,0.87
2x8,900006164096,28010762752,0.98
2x8,900006164096,29011147136,0.87
2x8,900006164096,30011531520,0.96
2x8,900006164096,31011915904,1.0
2x8,900006164096,32012300288,0.9
2x8,900006164096,33012684672,0.94
2x8,900006164096,34013069056,0.83
2x8,900006164096,35013453440,0.97
2x8,900006164096,36013837824,0.77
2x8,900006164096,37014222208,1.0
2x8,900006164096,38014606592,0.96
2x8,900006164096,39014990976,0.93
2x8,900006164096,40015375360,0.84
2x8,900006164096,41015759744,0.98
2x8,900006164096,42016144128,0.77
2x8,900006164096,43016528512,0.99
2x8,900006164096,44016912896,0.81
2x8,900006164096,45017297280,0.87
2x8,900006164096,46017681664,1.0
2x8,900006164096,47018066048,0.78
2x8,900006164096,48018450432,0.97
2x8,900006164096,49018834816,0.88
2x8,900006164096,50019219200,0.83
2x8,900006164096,51019603584,0.98
2x8,900006164096,52019987968,0.86
2x8,900006164096,53020372352,0.79
2x8,900006164096,54020756736,0.89
2x8,900006164096,55021141120,0.87
2x8,900006164096,56021525504,0.95
2x8,900006164096,57021909888,0.96
2x8,900006164096,58022294272,0.98
2x8,900006164096,59022678656,0.98
2x8,900006164096,60023063040,0.93
2x8,900006164096,61023447424,0.85
2x8,900006164096,62023831808,0.88
2x8,900006164096,63024216192,0.96
2x8,900006164096,64024600576,0.8
