model_config,flops,task_0_flops,task_0_accuracy
2x8,650004439936,1000384384,0.52
2x8,650004439936,2000768768,0.55
2x8,650004439936,3001153152,0.55
2x8,650004439936,4001537536,0.5
2x8,650004439936,5001921920,0.48
2x8,650004439936,6002306304,0.61
2x8,650004439936,7002690688,0.52
2x8,650004439936,8003075072,0.52
2x8,650004439936,9003459456,0.51
2x8,650004439936,10003843840,0.44
2x8,650004439936,11004228224,0.46
2x8,650004439936,12004612608,0.49
2x8,650004439936,13004996992,0.53
2x8,650004439936,14005381376,0.47
2x8,650004439936,15005765760,0.56
2x8,650004439936,16006150144,0.52
2x8,650004439936,17006534528,0.73
2x8,650004439936,18006918912,0.75
2x8,650004439936,19007303296,0.88
2x8,650004439936,20007687680,0.79
2x8,650004439936,21008072064,0.98
2x8,650004439936,22008456448,0.88
2x8,650004439936,23008840832,0.8
2x8,650004439936,24009225216,0.85
2x8,650004439936,25009609600,0.82
2x8,650004439936,26009993984,0.88
2x8,650004439936,27010378368,0.87
2x8,650004439936,28010762752,0.98
2x8,650004439936,29011147136,0.87
2x8,650004439936,30011531520,0.96
2x8,650004439936,31011915904,1.0
2x8,650004439936,32012300288,0.9
2x8,650004439936,33012684672,0.94
2x8,650004439936,34013069056,0.83
2x8,650004439936,35013453440,0.97
2x8,650004439936,36013837824,0.77
2x8,650004439936,37014222208,1.0
2x8,650004439936,38014606592,0.96
2x8,650004439936,39014990976,0.93
2x8,650004439936,40015375360,0.84
2x8,650004439936,41015759744,0.98
2x8,650004439936,42016144128,0.77
2x8,650004439936,43016528512,0.99
2x8,650004439936,44016912896,0.81
2x8,650004439936,45017297280,0.87
2x8,650004439936,46017681664,1.0
2x8,650004439936,47018066048,0.78
2x8,650004439936,48018450432,0.97
2x8,650004439936,49018834816,0.88
2x8,650004439936,50019219200,0.83
2x8,650004439936,51019603584,0.98
2x8,650004439936,52019987968,0.86
2x8,650004439936,53020372352,0.79
2x8,650004439936,54020756736,0.89
2x8,650004439936,55021141120,0.87
2x8,650004439936,56021525504,0.95
2x8,650004439936,57021909888,0.96
2x8,650004439936,58022294272,0.98
2x8,650004439936,59022678656,0.98
2x8,650004439936,60023063040,0.93
2x8,650004439936,61023447424,0.85
2x8,650004439936,62023831808,0.88
2x8,650004439936,63024216192,0.96
2x8,650004439936,64024600576,0.8
2x8,650004439936,65024984960,0.98
2x8,650004439936,66025369344,0.78
2x8,650004439936,67025753728,0.87
2x8,650004439936,68026138112,0.95
2x8,650004439936,69026522496,0.99
2x8,650004439936,70026906880,0.97
2x8,650004439936,71027291264,0.97
2x8,650004439936,72027675648,0.89
2x8,650004439936,73028060032,0.99
2x8,650004439936,74028444416,0.91
2x8,650004439936,75028828800,0.96
2x8,650004439936,76029213184,0.95
2x8,650004439936,77029597568,0.83
2x8,650004439936,78029981952,0.94
2x8,650004439936,79030366336,0.87
2x8,650004439936,80030750720,0.87
2x8,650004439936,81031135104,0.98
2x8,650004439936,82031519488,0.86
2x8,650004439936,83031903872,0.98
2x8,650004439936,84032288256,0.8
2x8,650004439936,85032672640,0.82
2x8,650004439936,86033057024,0.81
2x8,650004439936,87033441408,0.8
2x8,650004439936,88033825792,0.88
2x8,650004439936,89034210176,0.77
2x8,650004439936,90034594560,0.95
2x8,650004439936,91034978944,0.98
2x8,650004439936,92035363328,0.85
2x8,650004439936,93035747712,0.78
2x8,650004439936,94036132096,0.81
2x8,650004439936,95036516480,0.76
2x8,650004439936,96036900864,0.81
2x8,650004439936,97037285248,0.99
2x8,650004439936,98037669632,0.98
2x8,650004439936,99038054016,0.85
2x8,650004439936,100038438400,0.95
2x8,650004439936,101038822784,0.89
2x8,650004439936,102039207168,0.94
2x8,650004439936,103039591552,0.99
2x8,650004439936,104039975936,0.84
2x8,650004439936,105040360320,0.79
2x8,650004439936,106040744704,0.92
2x8,650004439936,107041129088,0.97
2x8,650004439936,108041513472,0.98
2x8,650004439936,109041897856,0.71
2x8,650004439936,110042282240,0.96
2x8,650004439936,111042666624,0.89
2x8,650004439936,112043051008,0.99
2x8,650004439936,113043435392,0.85
2x8,650004439936,114043819776,0.91
2x8,650004439936,115044204160,0.99
2x8,650004439936,116044588544,0.84
2x8,650004439936,117044972928,0.87
2x8,650004439936,118045357312,0.82
2x8,650004439936,119045741696,0.95
2x8,650004439936,120046126080,0.75
2x8,650004439936,121046510464,0.82
2x8,650004439936,122046894848,0.98
2x8,650004439936,123047279232,0.96
2x8,650004439936,124047663616,0.96
2x8,650004439936,125048048000,0.91
2x8,650004439936,126048432384,0.82
2x8,650004439936,127048816768,0.78
2x8,650004439936,128049201152,0.94
2x8,650004439936,129049585536,0.93
2x8,650004439936,130049969920,0.89
2x8,650004439936,131050354304,0.96
2x8,650004439936,132050738688,0.93
2x8,650004439936,133051123072,0.77
2x8,650004439936,134051507456,0.95
2x8,650004439936,135051891840,0.97
2x8,650004439936,136052276224,0.83
2x8,650004439936,137052660608,0.87
2x8,650004439936,138053044992,0.83
2x8,650004439936,139053429376,0.81
2x8,650004439936,140053813760,0.95
2x8,650004439936,141054198144,0.96
2x8,650004439936,142054582528,0.93
2x8,650004439936,143054966912,0.94
2x8,650004439936,144055351296,0.88
2x8,650004439936,145055735680,0.91
2x8,650004439936,146056120064,0.83
2x8,650004439936,147056504448,0.8
2x8,650004439936,148056888832,0.94
2x8,650004439936,149057273216,0.9
2x8,650004439936,150057657600,0.76
2x8,650004439936,151058041984,0.93
2x8,650004439936,152058426368,0.76
2x8,650004439936,153058810752,0.81
2x8,650004439936,154059195136,0.94
2x8,650004439936,155059579520,0.83
2x8,650004439936,156059963904,0.89
2x8,650004439936,157060348288,0.77
2x8,650004439936,158060732672,0.99
2x8,650004439936,159061117056,0.92
2x8,650004439936,160061501440,0.86
2x8,650004439936,161061885824,0.88
2x8,650004439936,162062270208,0.96
2x8,650004439936,163062654592,0.97
2x8,650004439936,164063038976,0.85
2x8,650004439936,165063423360,0.84
2x8,650004439936,166063807744,0.89
2x8,650004439936,167064192128,0.87
2x8,650004439936,168064576512,0.96
2x8,650004439936,169064960896,0.87
2x8,650004439936,170065345280,1.0
2x8,650004439936,171065729664,0.87
2x8,650004439936,172066114048,0.96
2x8,650004439936,173066498432,0.97
2x8,650004439936,174066882816,0.88
2x8,650004439936,175067267200,0.71
2x8,650004439936,176067651584,1.0
2x8,650004439936,177068035968,0.73
2x8,650004439936,178068420352,0.94
2x8,650004439936,179068804736,0.98
2x8,650004439936,180069189120,0.87
2x8,650004439936,181069573504,0.88
2x8,650004439936,182069957888,0.95
2x8,650004439936,183070342272,1.0
2x8,650004439936,184070726656,0.98
2x8,650004439936,185071111040,0.91
2x8,650004439936,186071495424,0.99
2x8,650004439936,187071879808,0.89
2x8,650004439936,188072264192,0.97
2x8,650004439936,189072648576,0.99
