model_config,flops,task_0_flops,task_0_accuracy
12x256,256880140800,4281335680,0.48
12x256,256880140800,8562671360,0.52
12x256,256880140800,12844007040,0.46
12x256,256880140800,17125342720,0.45
12x256,256880140800,21406678400,0.53
12x256,256880140800,25688014080,0.51
12x256,256880140800,29969349760,0.49
12x256,256880140800,34250685440,0.52
12x256,256880140800,38532021120,0.5
12x256,256880140800,42813356800,0.45
12x256,256880140800,47094692480,0.51
12x256,256880140800,51376028160,0.49
12x256,256880140800,55657363840,0.45
12x256,256880140800,59938699520,0.54
12x256,256880140800,64220035200,0.51
12x256,256880140800,68501370880,0.49
12x256,256880140800,72782706560,0.54
12x256,256880140800,77064042240,0.5
12x256,256880140800,81345377920,0.57
12x256,256880140800,85626713600,0.56
12x256,256880140800,89908049280,0.6
12x256,256880140800,94189384960,0.51
12x256,256880140800,98470720640,0.53
12x256,256880140800,102752056320,0.5
12x256,256880140800,107033392000,0.56
12x256,256880140800,111314727680,0.51
12x256,256880140800,115596063360,0.48
12x256,256880140800,119877399040,0.56
12x256,256880140800,124158734720,0.53
12x256,256880140800,128440070400,0.64
12x256,256880140800,132721406080,0.46
12x256,256880140800,137002741760,0.53
12x256,256880140800,141284077440,0.43
12x256,256880140800,145565413120,0.48
12x256,256880140800,149846748800,0.56
12x256,256880140800,154128084480,0.44
12x256,256880140800,158409420160,0.48
12x256,256880140800,162690755840,0.6
12x256,256880140800,166972091520,0.66
12x256,256880140800,171253427200,0.63
12x256,256880140800,175534762880,0.64
12x256,256880140800,179816098560,0.62
12x256,256880140800,184097434240,0.65
12x256,256880140800,188378769920,0.69
12x256,256880140800,192660105600,0.81
12x256,256880140800,196941441280,0.72
12x256,256880140800,201222776960,0.81
12x256,256880140800,205504112640,0.94
12x256,256880140800,209785448320,0.89
12x256,256880140800,214066784000,0.93
12x256,256880140800,218348119680,0.94
12x256,256880140800,222629455360,0.96
12x256,256880140800,226910791040,1.0
12x256,256880140800,231192126720,1.0
12x256,256880140800,235473462400,0.99
12x256,256880140800,239754798080,1.0
12x256,256880140800,244036133760,0.98
12x256,256880140800,248317469440,0.99
12x256,256880140800,252598805120,1.0
12x256,256880140800,256880140800,1.0
