model_config,flops,task_0_flops,task_0_accuracy
4x16,300021951104,1003241344,0.47
4x16,300021951104,2006482688,0.51
4x16,300021951104,3009724032,0.97
4x16,300021951104,4012965376,0.99
4x16,300021951104,5016206720,1.0
4x16,300021951104,6019448064,0.68
4x16,300021951104,7022689408,1.0
4x16,300021951104,8025930752,1.0
4x16,300021951104,9029172096,1.0
4x16,300021951104,10032413440,1.0
4x16,300021951104,11035654784,1.0
4x16,300021951104,12038896128,1.0
4x16,300021951104,13042137472,1.0
4x16,300021951104,14045378816,1.0
4x16,300021951104,15048620160,0.97
4x16,300021951104,16051861504,1.0
4x16,300021951104,17055102848,1.0
4x16,300021951104,18058344192,1.0
4x16,300021951104,19061585536,0.86
4x16,300021951104,20064826880,1.0
4x16,300021951104,21068068224,1.0
4x16,300021951104,22071309568,1.0
4x16,300021951104,23074550912,1.0
4x16,300021951104,24077792256,1.0
4x16,300021951104,25081033600,1.0
4x16,300021951104,26084274944,1.0
4x16,300021951104,27087516288,1.0
4x16,300021951104,28090757632,1.0
4x16,300021951104,29093998976,1.0
4x16,300021951104,30097240320,1.0
4x16,300021951104,31100481664,1.0
4x16,300021951104,32103723008,1.0
4x16,300021951104,33106964352,1.0
4x16,300021951104,34110205696,1.0
4x16,300021951104,35113447040,1.0
4x16,300021951104,36116688384,1.0
4x16,300021951104,37119929728,1.0
4x16,300021951104,38123171072,0.92
4x16,300021951104,39126412416,1.0
4x16,300021951104,40129653760,1.0
4x16,300021951104,41132895104,1.0
4x16,300021951104,42136136448,1.0
4x16,300021951104,43139377792,1.0
4x16,300021951104,44142619136,1.0
4x16,300021951104,45145860480,1.0
4x16,300021951104,46149101824,1.0
4x16,300021951104,47152343168,1.0
4x16,300021951104,48155584512,1.0
4x16,300021951104,49158825856,1.0
4x16,300021951104,50162067200,1.0
4x16,300021951104,51165308544,1.0
4x16,300021951104,52168549888,1.0
4x16,300021951104,53171791232,1.0
4x16,300021951104,54175032576,1.0
4x16,300021951104,55178273920,1.0
4x16,300021951104,56181515264,1.0
4x16,300021951104,57184756608,1.0
4x16,300021951104,58187997952,1.0
4x16,300021951104,59191239296,1.0
4x16,300021951104,60194480640,1.0
4x16,300021951104,61197721984,1.0
4x16,300021951104,62200963328,1.0
4x16,300021951104,63204204672,1.0
4x16,300021951104,64207446016,1.0
4x16,300021951104,65210687360,1.0
4x16,300021951104,66213928704,1.0
4x16,300021951104,67217170048,0.81
4x16,300021951104,68220411392,1.0
4x16,300021951104,69223652736,1.0
4x16,300021951104,70226894080,1.0
4x16,300021951104,71230135424,1.0
4x16,300021951104,72233376768,1.0
4x16,300021951104,73236618112,1.0
4x16,300021951104,74239859456,1.0
4x16,300021951104,75243100800,1.0
4x16,300021951104,76246342144,1.0
4x16,300021951104,77249583488,1.0
4x16,300021951104,78252824832,1.0
4x16,300021951104,79256066176,1.0
4x16,300021951104,80259307520,1.0
4x16,300021951104,81262548864,1.0
4x16,300021951104,82265790208,1.0
4x16,300021951104,83269031552,1.0
4x16,300021951104,84272272896,1.0
4x16,300021951104,85275514240,1.0
4x16,300021951104,86278755584,1.0
4x16,300021951104,87281996928,1.0
4x16,300021951104,88285238272,1.0
4x16,300021951104,89288479616,1.0
4x16,300021951104,90291720960,1.0
4x16,300021951104,91294962304,1.0
4x16,300021951104,92298203648,1.0
4x16,300021951104,93301444992,1.0
4x16,300021951104,94304686336,1.0
4x16,300021951104,95307927680,1.0
4x16,300021951104,96311169024,1.0
4x16,300021951104,97314410368,1.0
4x16,300021951104,98317651712,1.0
4x16,300021951104,99320893056,1.0
4x16,300021951104,100324134400,1.0
4x16,300021951104,101327375744,1.0
4x16,300021951104,102330617088,1.0
4x16,300021951104,103333858432,1.0
4x16,300021951104,104337099776,1.0
4x16,300021951104,105340341120,1.0
4x16,300021951104,106343582464,1.0
4x16,300021951104,107346823808,1.0
4x16,300021951104,108350065152,1.0
4x16,300021951104,109353306496,1.0
4x16,300021951104,110356547840,1.0
4x16,300021951104,111359789184,1.0
4x16,300021951104,112363030528,1.0
4x16,300021951104,113366271872,1.0
4x16,300021951104,114369513216,1.0
4x16,300021951104,115372754560,1.0
4x16,300021951104,116375995904,1.0
4x16,300021951104,117379237248,1.0
4x16,300021951104,118382478592,1.0
4x16,300021951104,119385719936,1.0
4x16,300021951104,120388961280,1.0
4x16,300021951104,121392202624,1.0
4x16,300021951104,122395443968,1.0
4x16,300021951104,123398685312,1.0
4x16,300021951104,124401926656,1.0
4x16,300021951104,125405168000,1.0
4x16,300021951104,126408409344,1.0
4x16,300021951104,127411650688,1.0
4x16,300021951104,128414892032,1.0
4x16,300021951104,129418133376,1.0
4x16,300021951104,130421374720,1.0
4x16,300021951104,131424616064,1.0
4x16,300021951104,132427857408,1.0
4x16,300021951104,133431098752,1.0
4x16,300021951104,134434340096,1.0
4x16,300021951104,135437581440,1.0
4x16,300021951104,136440822784,1.0
4x16,300021951104,137444064128,1.0
4x16,300021951104,138447305472,1.0
4x16,300021951104,139450546816,1.0
4x16,300021951104,140453788160,1.0
4x16,300021951104,141457029504,1.0
4x16,300021951104,142460270848,1.0
4x16,300021951104,143463512192,1.0
4x16,300021951104,144466753536,1.0
4x16,300021951104,145469994880,1.0
4x16,300021951104,146473236224,1.0
4x16,300021951104,147476477568,1.0
4x16,300021951104,148479718912,1.0
4x16,300021951104,149482960256,1.0
4x16,300021951104,150486201600,1.0
4x16,300021951104,151489442944,1.0
4x16,300021951104,152492684288,1.0
4x16,300021951104,153495925632,1.0
4x16,300021951104,154499166976,1.0
4x16,300021951104,155502408320,1.0
4x16,300021951104,156505649664,1.0
4x16,300021951104,157508891008,1.0
4x16,300021951104,158512132352,1.0
4x16,300021951104,159515373696,1.0
4x16,300021951104,160518615040,1.0
4x16,300021951104,161521856384,1.0
4x16,300021951104,162525097728,1.0
4x16,300021951104,163528339072,1.0
4x16,300021951104,164531580416,1.0
4x16,300021951104,165534821760,1.0
4x16,300021951104,166538063104,1.0
4x16,300021951104,167541304448,1.0
4x16,300021951104,168544545792,1.0
4x16,300021951104,169547787136,1.0
4x16,300021951104,170551028480,1.0
4x16,300021951104,171554269824,1.0
4x16,300021951104,172557511168,1.0
4x16,300021951104,173560752512,1.0
4x16,300021951104,174563993856,1.0
4x16,300021951104,175567235200,1.0
4x16,300021951104,176570476544,1.0
4x16,300021951104,177573717888,1.0
4x16,300021951104,178576959232,1.0
4x16,300021951104,179580200576,1.0
4x16,300021951104,180583441920,1.0
4x16,300021951104,181586683264,1.0
4x16,300021951104,182589924608,1.0
4x16,300021951104,183593165952,1.0
4x16,300021951104,184596407296,1.0
4x16,300021951104,185599648640,1.0
4x16,300021951104,186602889984,1.0
4x16,300021951104,187606131328,1.0
4x16,300021951104,188609372672,1.0
4x16,300021951104,189612614016,1.0
4x16,300021951104,190615855360,1.0
4x16,300021951104,191619096704,1.0
4x16,300021951104,192622338048,1.0
4x16,300021951104,193625579392,1.0
4x16,300021951104,194628820736,1.0
4x16,300021951104,195632062080,1.0
4x16,300021951104,196635303424,1.0
4x16,300021951104,197638544768,1.0
4x16,300021951104,198641786112,1.0
4x16,300021951104,199645027456,1.0
4x16,300021951104,200648268800,1.0
4x16,300021951104,201651510144,1.0
4x16,300021951104,202654751488,1.0
4x16,300021951104,203657992832,1.0
4x16,300021951104,204661234176,1.0
4x16,300021951104,205664475520,1.0
4x16,300021951104,206667716864,1.0
