task_0_flops,task_0_accuracy
20327563136,0.41
40655126272,0.61
60982689408,0.45
81310252544,0.51
101637815680,0.6
121965378816,0.44
142292941952,0.54
162620505088,0.5
182948068224,0.44
203275631360,0.52
223603194496,0.55
243930757632,0.45
264258320768,0.52
284585883904,0.53
304913447040,0.58
325241010176,0.52
345568573312,0.5
365896136448,0.52
386223699584,0.45
406551262720,0.56
426878825856,0.49
447206388992,0.52
467533952128,0.46
487861515264,0.51
508189078400,0.52
528516641536,0.64
548844204672,0.51
569171767808,0.59
589499330944,0.53
609826894080,0.54
630154457216,0.44
650482020352,0.59
670809583488,0.64
691137146624,0.67
711464709760,0.68
731792272896,0.78
