task_0_flops,task_0_accuracy
4281335680,0.51
8562671360,0.44
12844007040,0.44
17125342720,0.48
21406678400,0.45
25688014080,0.45
29969349760,0.48
34250685440,0.4
38532021120,0.48
42813356800,0.49
47094692480,0.41
51376028160,0.57
55657363840,0.6
59938699520,0.46
64220035200,0.44
68501370880,0.59
72782706560,0.48
77064042240,0.45
81345377920,0.46
85626713600,0.49
89908049280,0.47
94189384960,0.48
98470720640,0.52
102752056320,0.36
107033392000,0.56
111314727680,0.43
115596063360,0.56
119877399040,0.55
124158734720,0.52
128440070400,0.47
132721406080,0.55
137002741760,0.55
141284077440,0.43
145565413120,0.49
149846748800,0.54
154128084480,0.4
158409420160,0.49
162690755840,0.51
166972091520,0.46
171253427200,0.36
175534762880,0.47
179816098560,0.54
184097434240,0.4
188378769920,0.47
192660105600,0.57
196941441280,0.49
201222776960,0.51
205504112640,0.46
209785448320,0.44
214066784000,0.62
218348119680,0.52
222629455360,0.58
226910791040,0.59
231192126720,0.5
235473462400,0.53
239754798080,0.44
244036133760,0.52
248317469440,0.46
252598805120,0.54
256880140800,0.55
261161476480,0.48
265442812160,0.64
269724147840,0.62
274005483520,0.56
278286819200,0.66
282568154880,0.59
286849490560,0.74
291130826240,0.69
295412161920,0.6
299693497600,0.73
303974833280,0.73
308256168960,0.73
