task_0_flops,task_0_accuracy
1008107392,0.47
2016214784,0.52
3024322176,0.53
4032429568,0.61
5040536960,0.49
6048644352,0.52
7056751744,0.41
8064859136,0.5
9072966528,0.41
10081073920,0.44
11089181312,0.43
12097288704,0.49
13105396096,0.66
14113503488,0.54
15121610880,0.77
16129718272,0.87
17137825664,0.97
18145933056,1.0
19154040448,1.0
20162147840,0.99
21170255232,1.0
22178362624,1.0
23186470016,1.0
24194577408,1.0
25202684800,1.0
26210792192,1.0
27218899584,1.0
28227006976,1.0
29235114368,1.0
30243221760,1.0
31251329152,0.97
32259436544,1.0
33267543936,1.0
34275651328,1.0
35283758720,1.0
36291866112,1.0
37299973504,1.0
38308080896,1.0
39316188288,1.0
40324295680,1.0
41332403072,1.0
42340510464,1.0
43348617856,1.0
44356725248,1.0
45364832640,1.0
46372940032,1.0
47381047424,1.0
48389154816,1.0
49397262208,1.0
