task_0_flops,task_0_accuracy
1719172992,0.53
3438345984,0.5
5157518976,0.51
6876691968,0.51
8595864960,0.48
10315037952,0.49
12034210944,0.43
13753383936,0.43
15472556928,0.48
17191729920,0.45
18910902912,0.51
20630075904,0.5
22349248896,0.49
24068421888,0.52
25787594880,0.4
27506767872,0.51
29225940864,0.53
30945113856,0.53
32664286848,0.54
34383459840,0.52
36102632832,0.51
37821805824,0.48
39540978816,0.56
41260151808,0.52
42979324800,0.48
44698497792,0.48
46417670784,0.51
48136843776,0.53
49856016768,0.54
51575189760,0.52
53294362752,0.44
55013535744,0.38
56732708736,0.5
58451881728,0.5
60171054720,0.59
61890227712,0.53
63609400704,0.51
65328573696,0.6
67047746688,0.59
68766919680,0.53
70486092672,0.67
72205265664,0.61
73924438656,0.77
75643611648,0.72
77362784640,0.89
79081957632,0.94
80801130624,0.93
82520303616,0.99
84239476608,1.0
85958649600,1.0
87677822592,1.0
89396995584,1.0
91116168576,1.0
92835341568,1.0
94554514560,1.0
96273687552,1.0
97992860544,1.0
99712033536,1.0
101431206528,1.0
