model_config,flops,task_0_flops,task_0_accuracy
10x128,101431206528,1719172992,0.5
10x128,101431206528,3438345984,0.4
10x128,101431206528,5157518976,0.54
10x128,101431206528,6876691968,0.5
10x128,101431206528,8595864960,0.41
10x128,101431206528,10315037952,0.46
10x128,101431206528,12034210944,0.53
10x128,101431206528,13753383936,0.52
10x128,101431206528,15472556928,0.41
10x128,101431206528,17191729920,0.41
10x128,101431206528,18910902912,0.47
10x128,101431206528,20630075904,0.49
10x128,101431206528,22349248896,0.54
10x128,101431206528,24068421888,0.51
10x128,101431206528,25787594880,0.58
10x128,101431206528,27506767872,0.48
10x128,101431206528,29225940864,0.46
10x128,101431206528,30945113856,0.53
10x128,101431206528,32664286848,0.5
10x128,101431206528,34383459840,0.5
10x128,101431206528,36102632832,0.5
10x128,101431206528,37821805824,0.55
10x128,101431206528,39540978816,0.5
10x128,101431206528,41260151808,0.49
10x128,101431206528,42979324800,0.53
10x128,101431206528,44698497792,0.42
10x128,101431206528,46417670784,0.55
10x128,101431206528,48136843776,0.5
10x128,101431206528,49856016768,0.47
10x128,101431206528,51575189760,0.62
10x128,101431206528,53294362752,0.48
10x128,101431206528,55013535744,0.57
10x128,101431206528,56732708736,0.56
10x128,101431206528,58451881728,0.61
10x128,101431206528,60171054720,0.58
10x128,101431206528,61890227712,0.53
10x128,101431206528,63609400704,0.64
10x128,101431206528,65328573696,0.68
10x128,101431206528,67047746688,0.8
10x128,101431206528,68766919680,0.9
10x128,101431206528,70486092672,0.97
10x128,101431206528,72205265664,1.0
10x128,101431206528,73924438656,0.98
10x128,101431206528,75643611648,1.0
10x128,101431206528,77362784640,1.0
10x128,101431206528,79081957632,1.0
10x128,101431206528,80801130624,1.0
10x128,101431206528,82520303616,1.0
10x128,101431206528,84239476608,1.0
10x128,101431206528,85958649600,1.0
10x128,101431206528,87677822592,1.0
10x128,101431206528,89396995584,1.0
10x128,101431206528,91116168576,1.0
10x128,101431206528,92835341568,1.0
10x128,101431206528,94554514560,0.98
10x128,101431206528,96273687552,1.0
10x128,101431206528,97992860544,1.0
10x128,101431206528,99712033536,1.0
10x128,101431206528,101431206528,1.0
