model_config,flops,task_0_flops,task_0_accuracy
10x128,811449652224,1719172992,0.5
10x128,811449652224,3438345984,0.4
10x128,811449652224,5157518976,0.54
10x128,811449652224,6876691968,0.5
10x128,811449652224,8595864960,0.41
10x128,811449652224,10315037952,0.46
10x128,811449652224,12034210944,0.53
10x128,811449652224,13753383936,0.52
10x128,811449652224,15472556928,0.41
10x128,811449652224,17191729920,0.41
10x128,811449652224,18910902912,0.47
10x128,811449652224,20630075904,0.49
10x128,811449652224,22349248896,0.54
10x128,811449652224,24068421888,0.51
10x128,811449652224,25787594880,0.58
10x128,811449652224,27506767872,0.48
10x128,811449652224,29225940864,0.46
10x128,811449652224,30945113856,0.53
10x128,811449652224,32664286848,0.5
10x128,811449652224,34383459840,0.5
10x128,811449652224,36102632832,0.5
10x128,811449652224,37821805824,0.55
10x128,811449652224,39540978816,0.5
10x128,811449652224,41260151808,0.49
10x128,811449652224,42979324800,0.53
10x128,811449652224,44698497792,0.42
10x128,811449652224,46417670784,0.55
10x128,811449652224,48136843776,0.5
10x128,811449652224,49856016768,0.47
10x128,811449652224,51575189760,0.62
10x128,811449652224,53294362752,0.48
10x128,811449652224,55013535744,0.57
10x128,811449652224,56732708736,0.56
10x128,811449652224,58451881728,0.61
10x128,811449652224,60171054720,0.58
10x128,811449652224,61890227712,0.53
10x128,811449652224,63609400704,0.64
10x128,811449652224,65328573696,0.68
10x128,811449652224,67047746688,0.8
10x128,811449652224,68766919680,0.9
10x128,811449652224,70486092672,0.97
10x128,811449652224,72205265664,1.0
10x128,811449652224,73924438656,0.98
10x128,811449652224,75643611648,1.0
10x128,811449652224,77362784640,1.0
10x128,811449652224,79081957632,1.0
10x128,811449652224,80801130624,1.0
10x128,811449652224,82520303616,1.0
10x128,811449652224,84239476608,1.0
10x128,811449652224,85958649600,1.0
10x128,811449652224,87677822592,1.0
10x128,811449652224,89396995584,1.0
10x128,811449652224,91116168576,1.0
10x128,811449652224,92835341568,1.0
10x128,811449652224,94554514560,0.98
10x128,811449652224,96273687552,1.0
10x128,811449652224,97992860544,1.0
10x128,811449652224,99712033536,1.0
10x128,811449652224,101431206528,1.0
10x128,811449652224,103150379520,1.0
10x128,811449652224,104869552512,1.0
10x128,811449652224,106588725504,1.0
10x128,811449652224,108307898496,1.0
10x128,811449652224,110027071488,1.0
10x128,811449652224,111746244480,1.0
10x128,811449652224,113465417472,1.0
10x128,811449652224,115184590464,1.0
10x128,811449652224,116903763456,1.0
10x128,811449652224,118622936448,1.0
10x128,811449652224,120342109440,1.0
10x128,811449652224,122061282432,1.0
10x128,811449652224,123780455424,1.0
10x128,811449652224,125499628416,1.0
10x128,811449652224,127218801408,1.0
10x128,811449652224,128937974400,1.0
10x128,811449652224,130657147392,1.0
10x128,811449652224,132376320384,1.0
10x128,811449652224,134095493376,0.99
10x128,811449652224,135814666368,1.0
10x128,811449652224,137533839360,1.0
10x128,811449652224,139253012352,1.0
10x128,811449652224,140972185344,0.98
10x128,811449652224,142691358336,1.0
10x128,811449652224,144410531328,1.0
10x128,811449652224,146129704320,1.0
10x128,811449652224,147848877312,1.0
10x128,811449652224,149568050304,1.0
10x128,811449652224,151287223296,1.0
10x128,811449652224,153006396288,1.0
10x128,811449652224,154725569280,1.0
10x128,811449652224,156444742272,1.0
10x128,811449652224,158163915264,1.0
10x128,811449652224,159883088256,1.0
10x128,811449652224,161602261248,1.0
10x128,811449652224,163321434240,1.0
10x128,811449652224,165040607232,1.0
10x128,811449652224,166759780224,1.0
10x128,811449652224,168478953216,1.0
10x128,811449652224,170198126208,1.0
10x128,811449652224,171917299200,1.0
10x128,811449652224,173636472192,1.0
10x128,811449652224,175355645184,1.0
10x128,811449652224,177074818176,0.96
10x128,811449652224,178793991168,1.0
10x128,811449652224,180513164160,1.0
10x128,811449652224,182232337152,1.0
10x128,811449652224,183951510144,1.0
10x128,811449652224,185670683136,1.0
10x128,811449652224,187389856128,1.0
10x128,811449652224,189109029120,0.96
10x128,811449652224,190828202112,1.0
10x128,811449652224,192547375104,1.0
10x128,811449652224,194266548096,1.0
10x128,811449652224,195985721088,1.0
10x128,811449652224,197704894080,1.0
10x128,811449652224,199424067072,0.99
10x128,811449652224,201143240064,1.0
10x128,811449652224,202862413056,1.0
10x128,811449652224,204581586048,1.0
10x128,811449652224,206300759040,1.0
10x128,811449652224,208019932032,1.0
10x128,811449652224,209739105024,1.0
10x128,811449652224,211458278016,1.0
10x128,811449652224,213177451008,1.0
10x128,811449652224,214896624000,1.0
10x128,811449652224,216615796992,1.0
10x128,811449652224,218334969984,0.99
10x128,811449652224,220054142976,1.0
10x128,811449652224,221773315968,1.0
10x128,811449652224,223492488960,1.0
10x128,811449652224,225211661952,1.0
10x128,811449652224,226930834944,1.0
10x128,811449652224,228650007936,1.0
10x128,811449652224,230369180928,0.99
10x128,811449652224,232088353920,1.0
10x128,811449652224,233807526912,1.0
10x128,811449652224,235526699904,1.0
10x128,811449652224,237245872896,1.0
10x128,811449652224,238965045888,1.0
10x128,811449652224,240684218880,1.0
10x128,811449652224,242403391872,1.0
10x128,811449652224,244122564864,1.0
10x128,811449652224,245841737856,1.0
10x128,811449652224,247560910848,1.0
10x128,811449652224,249280083840,1.0
10x128,811449652224,250999256832,1.0
10x128,811449652224,252718429824,1.0
10x128,811449652224,254437602816,1.0
10x128,811449652224,256156775808,1.0
10x128,811449652224,257875948800,0.99
10x128,811449652224,259595121792,1.0
10x128,811449652224,261314294784,1.0
10x128,811449652224,263033467776,0.98
10x128,811449652224,264752640768,1.0
10x128,811449652224,266471813760,1.0
10x128,811449652224,268190986752,1.0
10x128,811449652224,269910159744,1.0
10x128,811449652224,271629332736,1.0
10x128,811449652224,273348505728,1.0
10x128,811449652224,275067678720,1.0
10x128,811449652224,276786851712,1.0
10x128,811449652224,278506024704,1.0
10x128,811449652224,280225197696,1.0
10x128,811449652224,281944370688,1.0
10x128,811449652224,283663543680,0.98
10x128,811449652224,285382716672,1.0
10x128,811449652224,287101889664,1.0
10x128,811449652224,288821062656,1.0
10x128,811449652224,290540235648,1.0
10x128,811449652224,292259408640,0.99
10x128,811449652224,293978581632,1.0
10x128,811449652224,295697754624,0.99
10x128,811449652224,297416927616,1.0
10x128,811449652224,299136100608,1.0
10x128,811449652224,300855273600,1.0
10x128,811449652224,302574446592,1.0
10x128,811449652224,304293619584,1.0
10x128,811449652224,306012792576,1.0
10x128,811449652224,307731965568,1.0
10x128,811449652224,309451138560,1.0
10x128,811449652224,311170311552,1.0
10x128,811449652224,312889484544,1.0
10x128,811449652224,314608657536,1.0
10x128,811449652224,316327830528,1.0
10x128,811449652224,318047003520,1.0
10x128,811449652224,319766176512,1.0
10x128,811449652224,321485349504,1.0
10x128,811449652224,323204522496,1.0
10x128,811449652224,324923695488,1.0
10x128,811449652224,326642868480,1.0
10x128,811449652224,328362041472,1.0
10x128,811449652224,330081214464,1.0
10x128,811449652224,331800387456,0.96
10x128,811449652224,333519560448,1.0
10x128,811449652224,335238733440,1.0
10x128,811449652224,336957906432,1.0
10x128,811449652224,338677079424,1.0
10x128,811449652224,340396252416,1.0
10x128,811449652224,342115425408,1.0
10x128,811449652224,343834598400,1.0
10x128,811449652224,345553771392,0.97
10x128,811449652224,347272944384,1.0
10x128,811449652224,348992117376,1.0
10x128,811449652224,350711290368,0.98
10x128,811449652224,352430463360,1.0
10x128,811449652224,354149636352,1.0
10x128,811449652224,355868809344,1.0
10x128,811449652224,357587982336,1.0
10x128,811449652224,359307155328,1.0
10x128,811449652224,361026328320,1.0
10x128,811449652224,362745501312,1.0
10x128,811449652224,364464674304,1.0
10x128,811449652224,366183847296,1.0
10x128,811449652224,367903020288,1.0
10x128,811449652224,369622193280,1.0
10x128,811449652224,371341366272,1.0
10x128,811449652224,373060539264,1.0
10x128,811449652224,374779712256,1.0
10x128,811449652224,376498885248,1.0
10x128,811449652224,378218058240,1.0
10x128,811449652224,379937231232,1.0
10x128,811449652224,381656404224,1.0
10x128,811449652224,383375577216,1.0
10x128,811449652224,385094750208,1.0
10x128,811449652224,386813923200,1.0
10x128,811449652224,388533096192,1.0
10x128,811449652224,390252269184,1.0
10x128,811449652224,391971442176,1.0
10x128,811449652224,393690615168,1.0
10x128,811449652224,395409788160,1.0
10x128,811449652224,397128961152,1.0
10x128,811449652224,398848134144,1.0
10x128,811449652224,400567307136,1.0
10x128,811449652224,402286480128,1.0
10x128,811449652224,404005653120,1.0
10x128,811449652224,405724826112,1.0
10x128,811449652224,407443999104,1.0
10x128,811449652224,409163172096,1.0
10x128,811449652224,410882345088,1.0
10x128,811449652224,412601518080,1.0
10x128,811449652224,414320691072,1.0
10x128,811449652224,416039864064,1.0
10x128,811449652224,417759037056,1.0
10x128,811449652224,419478210048,1.0
10x128,811449652224,421197383040,1.0
10x128,811449652224,422916556032,1.0
10x128,811449652224,424635729024,1.0
10x128,811449652224,426354902016,1.0
10x128,811449652224,428074075008,1.0
10x128,811449652224,429793248000,1.0
10x128,811449652224,431512420992,1.0
10x128,811449652224,433231593984,1.0
10x128,811449652224,434950766976,1.0
10x128,811449652224,436669939968,1.0
10x128,811449652224,438389112960,1.0
10x128,811449652224,440108285952,1.0
10x128,811449652224,441827458944,1.0
10x128,811449652224,443546631936,1.0
10x128,811449652224,445265804928,1.0
10x128,811449652224,446984977920,1.0
10x128,811449652224,448704150912,1.0
10x128,811449652224,450423323904,1.0
10x128,811449652224,452142496896,1.0
10x128,811449652224,453861669888,1.0
10x128,811449652224,455580842880,1.0
10x128,811449652224,457300015872,1.0
10x128,811449652224,459019188864,1.0
10x128,811449652224,460738361856,1.0
10x128,811449652224,462457534848,1.0
10x128,811449652224,464176707840,1.0
10x128,811449652224,465895880832,1.0
10x128,811449652224,467615053824,1.0
10x128,811449652224,469334226816,1.0
10x128,811449652224,471053399808,1.0
10x128,811449652224,472772572800,1.0
10x128,811449652224,474491745792,1.0
10x128,811449652224,476210918784,1.0
10x128,811449652224,477930091776,1.0
10x128,811449652224,479649264768,1.0
10x128,811449652224,481368437760,1.0
10x128,811449652224,483087610752,1.0
10x128,811449652224,484806783744,1.0
10x128,811449652224,486525956736,1.0
10x128,811449652224,488245129728,1.0
10x128,811449652224,489964302720,1.0
10x128,811449652224,491683475712,1.0
10x128,811449652224,493402648704,1.0
10x128,811449652224,495121821696,1.0
10x128,811449652224,496840994688,1.0
10x128,811449652224,498560167680,1.0
10x128,811449652224,500279340672,1.0
10x128,811449652224,501998513664,1.0
10x128,811449652224,503717686656,1.0
10x128,811449652224,505436859648,1.0
10x128,811449652224,507156032640,1.0
10x128,811449652224,508875205632,1.0
10x128,811449652224,510594378624,1.0
10x128,811449652224,512313551616,1.0
10x128,811449652224,514032724608,1.0
10x128,811449652224,515751897600,1.0
10x128,811449652224,517471070592,1.0
10x128,811449652224,519190243584,1.0
10x128,811449652224,520909416576,1.0
10x128,811449652224,522628589568,1.0
10x128,811449652224,524347762560,1.0
10x128,811449652224,526066935552,1.0
10x128,811449652224,527786108544,1.0
10x128,811449652224,529505281536,1.0
10x128,811449652224,531224454528,1.0
10x128,811449652224,532943627520,1.0
10x128,811449652224,534662800512,1.0
10x128,811449652224,536381973504,1.0
10x128,811449652224,538101146496,1.0
10x128,811449652224,539820319488,1.0
10x128,811449652224,541539492480,1.0
10x128,811449652224,543258665472,1.0
10x128,811449652224,544977838464,1.0
10x128,811449652224,546697011456,1.0
10x128,811449652224,548416184448,1.0
10x128,811449652224,550135357440,1.0
10x128,811449652224,551854530432,1.0
10x128,811449652224,553573703424,1.0
10x128,811449652224,555292876416,1.0
10x128,811449652224,557012049408,1.0
10x128,811449652224,558731222400,1.0
10x128,811449652224,560450395392,1.0
10x128,811449652224,562169568384,1.0
10x128,811449652224,563888741376,1.0
10x128,811449652224,565607914368,1.0
10x128,811449652224,567327087360,1.0
10x128,811449652224,569046260352,1.0
10x128,811449652224,570765433344,1.0
10x128,811449652224,572484606336,1.0
10x128,811449652224,574203779328,1.0
10x128,811449652224,575922952320,1.0
10x128,811449652224,577642125312,1.0
10x128,811449652224,579361298304,1.0
10x128,811449652224,581080471296,1.0
10x128,811449652224,582799644288,1.0
10x128,811449652224,584518817280,1.0
10x128,811449652224,586237990272,1.0
10x128,811449652224,587957163264,1.0
10x128,811449652224,589676336256,1.0
10x128,811449652224,591395509248,1.0
10x128,811449652224,593114682240,1.0
10x128,811449652224,594833855232,1.0
10x128,811449652224,596553028224,1.0
10x128,811449652224,598272201216,1.0
10x128,811449652224,599991374208,1.0
10x128,811449652224,601710547200,1.0
10x128,811449652224,603429720192,1.0
10x128,811449652224,605148893184,1.0
10x128,811449652224,606868066176,1.0
10x128,811449652224,608587239168,1.0
10x128,811449652224,610306412160,1.0
10x128,811449652224,612025585152,1.0
10x128,811449652224,613744758144,1.0
10x128,811449652224,615463931136,1.0
10x128,811449652224,617183104128,1.0
10x128,811449652224,618902277120,1.0
10x128,811449652224,620621450112,1.0
10x128,811449652224,622340623104,1.0
10x128,811449652224,624059796096,1.0
10x128,811449652224,625778969088,1.0
10x128,811449652224,627498142080,1.0
10x128,811449652224,629217315072,1.0
10x128,811449652224,630936488064,1.0
10x128,811449652224,632655661056,1.0
10x128,811449652224,634374834048,1.0
10x128,811449652224,636094007040,1.0
10x128,811449652224,637813180032,1.0
10x128,811449652224,639532353024,1.0
10x128,811449652224,641251526016,1.0
10x128,811449652224,642970699008,1.0
10x128,811449652224,644689872000,1.0
10x128,811449652224,646409044992,1.0
10x128,811449652224,648128217984,1.0
10x128,811449652224,649847390976,1.0
10x128,811449652224,651566563968,1.0
10x128,811449652224,653285736960,1.0
10x128,811449652224,655004909952,1.0
10x128,811449652224,656724082944,1.0
